Title,URL,Publisher,Publication Place,Province
Central Alberta Life,https://centralalbertaonline.com/,Black Press Group Ltd.,Red Deer,AB
Eckville Echo,https://www.eckvilleecho.com/,Black Press Group Ltd.,Sylvan Lake,AB
The 40 - Mile County Commentator,https://bowislandcommentator.com/40-mile-commentator/,Postmedia Network Inc.,Bow Island,AB
Lacombe Express,https://www.lacombeexpress.com/,Black Press Group Ltd.,Lacombe,AB
Airdrie Echo,https://www.airdrieecho.com/,Postmedia Network Inc.,Airdrie,AB
The Pipestone Flyer,https://www.pipestoneflyer.ca/,Black Press Group Ltd.,Wetaskiwin,AB
Ponoka News,https://www.ponokanews.com/,Black Press Group Ltd.,Ponoka,AB
The Almaguin News,https://www.northbaynipissing.com/news/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Burk's Falls,ON
Arnprior Chronicle - Guide,https://www.insideottawavalley.com/ontario-communities/arnprior/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Arnprior,ON
Stettler Independent,https://www.stettlerindependent.com/,Black Press Group Ltd.,Stettler,AB
Sylvan Lake News,https://www.sylvanlakenews.com/,Black Press Group Ltd.,Sylvan Lake,AB
Barrie Advance,https://www.simcoe.com/ontario-communities/barrie/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Barrie,ON
The Beacon Herald,https://www.stratfordbeaconherald.com/,Postmedia Network Inc.,Stratford,ON
Beaumont News,https://www.thebeaumontnews.ca/,Postmedia Network Inc.,Beaumont,AB
Bashaw Star,https://www.bashawstar.com/,Black Press Group Ltd.,Bashaw,AB
Bow Valley Crag & Canyon,https://www.thecragandcanyon.ca/,Postmedia Network Inc.,Banff,AB
Bracebridge Examiner,https://www.muskokaregion.com/ontario-communities/bracebridge/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Bracebridge,ON
The Brampton Guardian,https://www.bramptonguardian.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Brampton,ON
The Brandon Sun,https://www.brandonsun.com/,FP Canadian Newspapers Limited Partnership,Brandon,MB
The Brighton Independent,https://www.brightonandhovenews.org/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Brighton,ON
Brock Citizen,https://www.durhamregion.com/ontario-communities/brock/news/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Beaverton,ON
The Brooks Bulletin,https://brooksbulletin.com/,Postmedia Network Inc.,Brooks,AB
Castor Advance,https://www.castoradvance.com/,Black Press Group Ltd.,Castor,AB
Caledon Enterprise,https://www.caledonenterprise.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Caledon,ON
Red Deer Advocate,https://www.reddeeradvocate.com/,Black Press Group Ltd.,Red Deer,AB
Calgary Herald,https://calgaryherald.com/,Postmedia Network Inc.,Calgary,AB
The Calgary Sun,https://calgarysun.com/,Postmedia Network Inc.,Calgary,AB
100 Mile House Free Press,https://www.100milefreepress.net/,Black Press Group Ltd.,100 Mile House,BC
Canadian Business,https://canadianbusiness.com/,St. Joseph Communications,Toronto,ON
The Canadian Champion,https://www.insidehalton.com/ontario-communities/milton/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Milton,ON
