Title,Edition,Publisher,Publication Place,Publication Country,"Full Text
(combined)
First","Full Text
(combined)
Last","Full Text
(combined)
Gaps","Scholarly / Peer-
Reviewed","Full Text
First","Full Text
Last","Full Text
Gaps","Full
Text - PDF
First","Full
Text - PDF
Last","Full
Text - PDF
Gaps",Embargo Days,"Cit/Abs
(combined)
First","Cit/Abs
(combined)
Last","Cit/Abs
(combined)
Gaps","Other
Formats First","Other
Formats Last","Other
Formats Gaps","Peer-
Reviewed",Pub Type,Pub Language,Notes and Changes
100 Mile House Free Press,,Black Press Group Ltd.,"100 Mile House, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
100 Mile House Free Press (Online),,Black Press Group Ltd.,100 Mile House,Canada,28-Jan-2023,Current,,N,28-Jan-2023,Current,,,,,,28-Jan-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The 40 - Mile County Commentator,,Postmedia Network Inc.,"Bow Island, Alta.",Canada,06-Jan-2009,Current,01-Jan-2014--31-Dec-2016,N,06-Jan-2009,Current,01-Jan-2014--31-Dec-2016,,,,1,06-Jan-2009,Current,01-Jan-2014--31-Dec-2016,,,,N,Newspapers,English,
Abbotsford Times,,Postmedia Network Inc.,"Abbotsford, B.C.",Canada,11-Jun-2002,03-Dec-2013,,N,11-Jun-2002,03-Dec-2013,,,,,,11-Jun-2002,03-Dec-2013,,,,,N,Newspapers,English,
The Agassiz - Harrison Observer,,Black Press Group Ltd.,"Agassiz, B.C.",Canada,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2003,N,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2003,,,,,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2003,,,,N,Newspapers,English,
The Agassiz-Harrison Observer (Online),,Black Press Group Ltd.,Agassiz,Canada,13-Mar-2023,Current,,N,13-Mar-2023,Current,,,,,,13-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Airdrie City View,,Postmedia Network Inc.,"Airdrie, Alta.",Canada,03-Apr-2009,12-Dec-2019,,N,03-Apr-2009,12-Dec-2019,,,,,,03-Apr-2009,12-Dec-2019,,,,,N,Newspapers,English,
Airdrie Echo,,Postmedia Network Inc.,Airdrie,Canada,26-Mar-2008,22-Feb-2023,,N,26-Mar-2008,22-Feb-2023,,,,,,26-Mar-2008,22-Feb-2023,,,,,N,Newspapers,English,
Airdrie Echo (Online),,Postmedia Network Inc.,Airdrie,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--31-Dec-2021,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--31-Dec-2021,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--31-Dec-2021,,,,N,"Blogs, Podcasts, & Websites",English,
Alaska Highway News,,Postmedia Network Inc.,"Fort St. John, B.C.",Canada,09-Dec-1999,24-Mar-2022,01-Jan-2020--31-Dec-2020,N,09-Dec-1999,24-Mar-2022,01-Jan-2020--31-Dec-2020,,,,,09-Dec-1999,24-Mar-2022,01-Jan-2020--31-Dec-2020,,,,N,Newspapers,English,
Alberni Valley News (Online),,Black Press Group Ltd.,Port Alberni,Canada,23-Nov-2022,Current,,N,23-Nov-2022,Current,,,,,,23-Nov-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Alberni Valley Times,,Postmedia Network Inc.,"Port Alberni, B.C.",Canada,28-Jan-2000,09-Oct-2015,,N,28-Jan-2000,09-Oct-2015,,,,,,28-Jan-2000,09-Oct-2015,,,,,N,Newspapers,English,
Alberta Business,,Sunrise Publishing Ltd.,Calgary,Canada,01-Feb-1985,01-Jul-1992,01-Nov-1990--28-Feb-1992,N,01-Feb-1985,01-Jul-1992,01-Nov-1990--28-Feb-1992,,,,,01-Feb-1985,01-Sep-1995,01-Jan-1993--31-Dec-1993; 01-Nov-1990--28-Feb-1992,,,,N,Magazines,English,
Aldergrove Star (Online),,Black Press Group Ltd.,Aldergrove,Canada,17-Mar-2023,Current,,N,17-Mar-2023,Current,,,,,,17-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Aldergrove Star,,Black Press Group Ltd.,"Aldergrove, B.C.",Canada,05-Aug-2004,02-Apr-2022,,N,05-Aug-2004,02-Apr-2022,,,,,,05-Aug-2004,02-Apr-2022,,,,,N,Newspapers,English,
The Almaguin News,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Burk's Falls, Ont.",Canada,10-Feb-2010,Current,,N,10-Feb-2010,Current,,,,,,10-Feb-2010,Current,,,,,N,Newspapers,English,
Almonte/Carleton Place EMC,,Postmedia Network Inc.,"Almonte, Ont.",Canada,02-Apr-2009,08-Feb-2018,,N,02-Apr-2009,08-Feb-2018,,,,,,02-Apr-2009,08-Feb-2018,,,,,N,Newspapers,English,
Ancaster News,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Ancaster, Ont.",Canada,01-Sep-1999,21-Mar-2024,,N,01-Sep-1999,21-Mar-2024,,,,,,01-Sep-1999,21-Mar-2024,,,,,N,Newspapers,English,
Arnprior Chronicle - Guide,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Arnprior, Ont.",Canada,20-Sep-2011,Current,,N,20-Sep-2011,Current,,,,,,20-Sep-2011,Current,,,,,N,Newspapers,English,
Arnprior EMC,,Postmedia Network Inc.,"Arnprior, Ont.",Canada,03-Apr-2009,01-Feb-2018,,N,03-Apr-2009,01-Feb-2018,,,,,,03-Apr-2009,01-Feb-2018,,,,,N,Newspapers,English,
Arrow Lakes News,,Black Press Group Ltd.,"Nakusp, B.C.",Canada,04-Aug-2004,01-Apr-2022,,N,04-Aug-2004,01-Apr-2022,,,,,,04-Aug-2004,01-Apr-2022,,,,,N,Newspapers,English,
Arrow Lakes News (Online),,Black Press Group Ltd.,Nakusp,Canada,04-Nov-2022,Current,,N,04-Nov-2022,Current,,,,,,04-Nov-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
As It Happens,,Canadian Broadcasting Corporation,Toronto,Canada,12-Dec-2016,Current,,N,12-Dec-2016,Current,,,,,,12-Dec-2016,Current,,,,,N,Other Sources,English,
The Ashcroft-Cache Creek Journal (Online),,Black Press Group Ltd.,Ashcroft,Canada,28-Apr-2021,Current,01-Jan-2022--31-Dec-2022,N,28-Apr-2021,Current,01-Jan-2022--31-Dec-2022,,,,,28-Apr-2021,Current,01-Jan-2022--31-Dec-2022,,,,N,"Blogs, Podcasts, & Websites",English,
BC Business,,Canada Wide Magazines,Vancouver,Canada,,,,N,,,,,,,,01-Jan-1982,01-Feb-2006,01-Nov-1990--01-Jan-1992,,,,N,Trade Journals,English,
Barrie - Advance,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Barrie, Ont.",Canada,16-Feb-2003,Current,,N,16-Feb-2003,Current,,,,,,16-Feb-2003,Current,,,,,N,Newspapers,English,
Bashaw Star,,Black Press Group Ltd.,Bashaw,Canada,18-Jun-2013,15-May-2024,01-Jan-2017--31-Dec-2022,N,18-Jun-2013,15-May-2024,01-Jan-2017--31-Dec-2022,,,,,18-Jun-2013,15-May-2024,01-Jan-2017--31-Dec-2022,,,,N,Newspapers,English,
Bashaw Star (Online),,Black Press Group Ltd.,Bashaw,Canada,16-Mar-2023,13-May-2024,,N,16-Mar-2023,13-May-2024,,,,,,16-Mar-2023,13-May-2024,,,,,N,"Blogs, Podcasts, & Websites",English,
The Bassano Times,,Postmedia Network Inc.,"Bassano, Alta.",Canada,31-Mar-2009,Current,,N,31-Mar-2009,Current,,,,,1,31-Mar-2009,Current,,,,,N,Newspapers,English,
The Beacon Herald (Online),,Postmedia Network Inc.,Stratford,Canada,15-May-2015,Current,27-Sep-2021--28-Mar-2022,N,15-May-2015,Current,27-Sep-2021--28-Mar-2022,,,,1,15-May-2015,Current,27-Sep-2021--28-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Beacon Herald,,Postmedia Network Inc.,Stratford,Canada,30-Apr-2007,Current,,N,30-Apr-2007,Current,,,,,1,30-Apr-2007,Current,,,,,N,Newspapers,English,
Beaumont News,,Postmedia Network Inc.,Beaumont,Canada,01-May-2015,Current,,N,01-May-2015,Current,,,,,1,01-May-2015,Current,,,,,N,Newspapers,English,
Beaverlodge Advertiser,,Alberta Weekly Newspapers Association,"Beaverlodge, Alta.",Canada,08-Apr-2009,18-Dec-2013,,N,08-Apr-2009,18-Dec-2013,,,,,,08-Apr-2009,18-Dec-2013,,,,,N,Newspapers,English,
Beaverlodge West County News,,Postmedia Network Inc.,"Beaverlodge, Alta.",Canada,16-Mar-2012,30-Jan-2014,,N,16-Mar-2012,30-Jan-2014,,,,,,16-Mar-2012,30-Jan-2014,,,,,N,Newspapers,English,
Belleville EMC,,Postmedia Network Inc.,"Belleville, Ont.",Canada,03-Apr-2009,23-Nov-2017,,N,03-Apr-2009,23-Nov-2017,,,,,,03-Apr-2009,23-Nov-2017,,,,,N,Newspapers,English,
Bloor West Villager,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Toronto, Ont.",Canada,02-May-2003,17-Jul-2023,,N,02-May-2003,17-Jul-2023,,,,,,02-May-2003,17-Jul-2023,,,,,N,Newspapers,English,
The Blue Mountains Courier - Herald,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Meaford, Ont.",Canada,26-Jan-2010,19-Jun-2014,,N,26-Jan-2010,19-Jun-2014,,,,,,26-Jan-2010,19-Jun-2014,,,,,N,Newspapers,English,
The Boundary Creek Times (Online),,Black Press Group Ltd.,Grand Forks,Canada,10-Apr-2023,Current,,N,10-Apr-2023,Current,,,,,,10-Apr-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Bow Valley Crag & Canyon,,Postmedia Network Inc.,Banff,Canada,25-Mar-2008,22-Feb-2023,,N,25-Mar-2008,22-Feb-2023,,,,,,25-Mar-2008,22-Feb-2023,,,,,N,Newspapers,English,
