victim_id,title,outlet,url
V1-0040,Mental illness training key  inquest told; Man died after he was arrested Jury deliberates recommendations: [ONT Edition],Toronto Star,https://www.proquest.com/canadiannews/docview/438797882/1433533E416E437FPQ/8?accountid=14771
V2-0867,Coroner's Inquest hears testimony from investigating officer,paNOW,https://panow.com/2019/12/03/coroners-inquest-hears-testimony-from-investigating-officer/
V1-0368,Inquest called on police,Winnipeg Sun,https://www.proquest.com/canadiannews/docview/2230320159/29DE5D32EBEF4598PQ/154?accountid=14771&sourcetype=Newspapers
V1-0459,'I don't want to die': RCMP officer describes opening fire during chaotic attempted arrest that left man dead,Edmonton Journal,https://edmontonjournal.com/news/local-news/i-dont-want-to-die-rcmp-officer-describes-opening-fire-during-chaotic-attempted-arrest-that-left-man-dead
V1-0560,Police identify killed B.C. bank gunmen as 22-year-old twin brothers,Global News,https://globalnews.ca/news/8962999/police-release-suspects-name-saanich-bank-robbery/
V1-0919,A month after assaulting Chadd Facey  who later died  this Toronto cop shot two other racialized teenagers,Toronto Star,https://www.thestar.com/news/gta/a-month-after-assaulting-chadd-facey-who-later-died-this-toronto-cop-shot-two-other/article_c4e30add-4619-46f3-a378-e01d79a2adec.html
V1-0029,Enraged gunman dies in shootout: `He said he wasn't going back to jail ' friend says,Ottawa Citizen,https://www.proquest.com/canadiannews/docview/240485402/195049D257CD443EPQ/4?accountid=14771&sourcetype=Newspapers
V1-0027,Dead thief's accomplice speaks out: Man challenges SIU ruling that death was `unavoidable',Ottawa Citizen,https://www.proquest.com/canadiannews/docview/240468124/EF182F438D3F4D06PQ/23?accountid=14771&sourcetype=Newspapers
V1-0643,Police cleared in carjacking suspect's death at Nanaimo ferry terminal: watchdog,Vancouver Sun,https://vancouversun.com/news/local-news/police-cleared-in-carjacking-suspects-death-at-nanaimo-ferry-terminal-watchdog
V1-0285,Man who stabbed officer dies in hospital,The Globe and Mail,https://www.theglobeandmail.com/news/toronto/man-who-stabbed-officer-dies-in-hospital/article4223564/
V1-0222,Suspect in OPP killing dies,CBC,https://www.cbc.ca/news/canada/suspect-in-opp-killing-dies-1.947608
